,Titre,Prix_normal,Prix_barré,Réduction_proposée,Lien_produit,Liens_images,Catégorie,Disponibilité,Fournisseur_profil,Scrap date
0,MINI VENTILATEUR PORTATIF GEEPAS 4 INCH TYPE C,4 500CFA,6 000CFA,- 25%,https://shop.mtn.bj/produit/mini-ventilateur-portatif-geepas-4-inch-type-c/,https://shop.mtn.bj/wp-content/uploads/2024/12/GF21206.jpg,Accessoires,NA,Chaftel,2025-02-26
1,Taurus Station Grey - Batteur électrique de pâtisserie 300W,15 000CFA,20 000CFA,- 25%,https://shop.mtn.bj/produit/taurus-station-grey-batteur-electrique-de-patisserie-300w/,https://shop.mtn.bj/wp-content/uploads/2024/01/51myszi-9OL._AC_UF10001000_QL80.png,"Cuisine et Maison,Petit électroménager",NA,Chaftel,2025-02-26
2,Bouilloire Synix en acier inoxydable,13 000CFA,13 000CFA,0%,https://shop.mtn.bj/produit/bouilloire-synix-en-acier-inoxydable/,https://shop.mtn.bj/wp-content/uploads/2024/12/metallic_electric_kettle_cls-1801-800x800-1.jpg,"Cuisine et Maison,Petit électroménager",NA,Chaftel,2025-02-26
3,MOXOM MX-KB09,10 500CFA,10 500CFA,0%,https://shop.mtn.bj/produit/moxom-mx-kb09/,https://shop.mtn.bj/wp-content/uploads/2024/08/mx-kb09-4-600x600-1.jpg,Accessoires,NA,TEDDY COM,2025-02-26
4,Ventilateur à 3 lames,22 000CFA,22 000CFA,0%,https://shop.mtn.bj/produit/ventilateur-a-3-lames/,https://shop.mtn.bj/wp-content/uploads/2024/12/SYINIX-VENTILATEUR-16N-311-3-LAMES-50W.jpg,Petit électroménager,NA,Chaftel,2025-02-26
5,Smartphone Y'ello AWADJIDJE H5111,39 000CFA,39 000CFA,0%,https://shop.mtn.bj/produit/smartphone-yello-awadjidje-h5111/,https://shop.mtn.bj/wp-content/uploads/2024/09/Picture1.png,Smartphones,NA,MTN Bénin,2025-02-26
6,Haut parleur Bluetooth zebronics,9 000CFA,9 000CFA,0%,https://shop.mtn.bj/produit/haut-parleur-bluetooth-zebronics/,https://shop.mtn.bj/wp-content/uploads/2024/12/Le-haut-parleur-portable-Bluetooth-Zebronics-County-Black.jpg,Accessoires,NA,Chaftel,2025-02-26
7,CHARGEUR RAPIDE SANS FIL ZEBRONICS  WCP1001S,6 500CFA,10 000CFA,- 35%,https://shop.mtn.bj/produit/chargeur-rapide-sans-fil-zebronics-wcp1001s/,https://shop.mtn.bj/wp-content/uploads/2024/12/5186ROROHyS._SL1500_.jpg,Accessoires,NA,Chaftel,2025-02-26
8,"Taurus Mithos Avant - Tondeuse à cheveux, Moteur AC 3000 tr/min",9 000CFA,14 000CFA,- 36%,https://shop.mtn.bj/produit/taurus-mithos-avant-tondeuse-a-cheveux-moteur-ac-3000-tr-min/,https://shop.mtn.bj/wp-content/uploads/2024/01/WhatsApp-Image-2024-01-09-at-15.33.4.png,"Beauté et Parfum,Coiffure et soins des cheveux,Outils de coupe de cheveux,Tondeuses à cheveux,Tondeuses à cheveux et accessoires",NA,Chaftel,2025-02-26
9,Ecouteur tour de Cou Zeb-Yoga 1,14 999CFA,20 000CFA,- 25%,https://shop.mtn.bj/produit/ecouteur-tour-de-cou-zeb-yoga-1/,https://shop.mtn.bj/wp-content/uploads/2024/01/WhatsApp-Image-2023-12-27-at-11.09.45.png,Accessoires,NA,Chaftel,2025-02-26
